City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,baykit,61.67,96.37,-17.38,98,100,1.8,RU,1670613644
214,constitucion,-35.3333,-72.4167,20.52,67,59,6.85,CL,1670613431
215,tual,-5.6667,132.75,28.4,71,100,2.35,ID,1670613645
216,tres arroyos,-38.3739,-60.2798,31.88,18,5,6.69,AR,1670613645
217,sombrerete,23.6333,-103.65,19.5,15,8,1.31,MX,1670613645
218,vizinga,61.0749,50.1031,-10.72,97,100,1.1,RU,1670613646
219,yinchuan,38.4681,106.2731,-5.83,36,91,3.78,CN,1670613646
220,porto novo,6.4965,2.6036,26.98,80,0,3.24,BJ,1670613647
221,kollam,8.8833,76.6,24.32,75,96,4.33,IN,1670613647
222,charters towers,-20.1,146.2667,23.72,82,0,4.25,AU,1670613647
223,los llanos de aridane,28.6585,-17.9182,20.86,98,40,1.03,ES,1670613433
224,tasiilaq,65.6145,-37.6368,-6.91,60,17,3.41,GL,1670613648
225,at-bashi,41.1702,75.8106,-14.52,89,81,1.05,KG,1670613648
226,sukhobezvodnoye,57.0491,44.8891,-5.4,95,100,3.51,RU,1670613649
227,adelaide,-34.9333,138.6,20.72,37,0,6.69,AU,1670613474
228,polur,12.5,79.1333,20.38,91,100,9.19,IN,1670613649
229,dickinson,29.4608,-95.0513,28.96,73,40,4.12,US,1670613650
230,mar del plata,-38.0023,-57.5575,26.16,60,0,8.49,AR,1670613650
231,matara,5.9485,80.5353,24.47,90,100,3.75,LK,1670613650
232,kamaishi,39.2667,141.8833,4.41,81,8,2.79,JP,1670613651
233,shenjiamen,29.9576,122.298,12.82,92,100,6.2,CN,1670613651
234,yura,-16.2522,-71.6797,13.29,77,40,5.14,PE,1670613652
235,lompoc,34.6391,-120.4579,17.0,68,0,1.79,US,1670613652
236,tura,25.5198,90.2201,15.47,85,0,1.42,IN,1670613653
237,hami,42.8,93.45,-3.7,42,100,2.46,CN,1670613653
238,bay roberts,47.5999,-53.2648,4.17,97,15,6.71,CA,1670613653
239,nanortalik,60.1432,-45.2371,-4.51,81,2,3.05,GL,1670613654
240,saint-francois,46.4154,3.9054,0.93,93,100,2.57,FR,1670613654
241,linqu,36.5156,118.5397,4.1,84,74,1.66,CN,1670613655
242,zlocieniec,53.5329,16.0113,-2.28,92,11,1.5,PL,1670613655
243,abidjan,5.3094,-4.0197,27.98,89,20,2.57,CI,1670613655
244,elizabeth city,36.2946,-76.2511,13.01,65,100,5.14,US,1670613653
245,buala,-8.145,159.5921,26.31,82,100,1.53,SB,1670613656
246,mayahi,13.9553,7.6712,22.53,13,69,5.0,NE,1670613656
247,kodiak,57.79,-152.4072,-3.27,50,0,14.4,US,1670613656
248,barrow,71.2906,-156.7887,-8.99,79,100,10.8,US,1670613657
249,kloulklubed,7.0419,134.2556,23.28,72,84,2.9,PW,1670613657
250,east london,-33.0153,27.9116,23.92,88,49,5.8,ZA,1670613657
251,ulaangom,49.9811,92.0667,-25.43,97,100,0.65,MN,1670613658
252,polis,35.0367,32.4264,14.9,78,5,1.35,CY,1670613659
253,dikson,73.5069,80.5464,-17.92,94,100,5.67,RU,1670613659
254,haines junction,60.7522,-137.5108,-11.03,67,100,2.06,CA,1670613659
255,lovozero,68.005,35.0117,-9.12,93,100,6.15,RU,1670613660
256,brae,60.3964,-1.353,4.28,63,99,7.28,GB,1670613660
257,springfield,37.2153,-93.2982,11.41,66,0,5.14,US,1670613603
258,maloy,61.9353,5.1136,-2.15,56,7,3.28,NO,1670613661
259,yar-sale,66.8333,70.8333,-23.04,96,64,5.47,RU,1670613661
260,mora,11.0461,14.1401,23.49,19,0,2.92,CM,1670613661
261,azul,-36.777,-59.8585,38.51,17,12,6.27,AR,1670613662
262,sinnamary,5.3833,-52.95,27.62,74,100,3.19,GF,1670613662
263,verkh-chebula,56.0308,87.6218,-14.97,77,100,8.15,RU,1670613662
264,altay,47.8667,88.1167,-12.07,86,100,0.1,CN,1670613663
265,kangaatsiaq,68.3065,-53.4641,-1.25,78,100,3.02,GL,1670613663
266,kiri buru,22.0833,85.35,15.33,40,96,0.41,IN,1670613664
267,vardo,70.3705,31.1107,-1.01,74,75,11.83,NO,1670613664
268,iquitos,-3.7481,-73.2472,28.02,89,75,2.06,PE,1670613664
269,hit,33.6416,42.8251,14.69,47,8,2.04,IQ,1670613665
270,tumut,-35.3,148.2167,6.94,89,0,1.56,AU,1670613665
271,tocopilla,-22.092,-70.1979,21.4,70,72,2.75,CL,1670613471
272,qandala,11.472,49.8728,24.35,75,97,2.32,SO,1670613666
273,portland,45.5234,-122.6762,7.12,92,100,5.66,US,1670613613
274,itarema,-2.9248,-39.9167,29.07,64,71,7.27,BR,1670613666
275,pathein,16.7833,94.7333,23.97,83,6,1.84,MM,1670613666
276,minden,52.2833,8.9167,-1.48,69,73,1.03,DE,1670613667
277,port-gentil,-0.7193,8.7815,27.98,78,20,4.63,GA,1670613667
278,eslov,55.8393,13.3039,0.82,95,100,0.92,SE,1670613668
279,camacha,33.0833,-16.3333,17.68,77,40,6.17,PT,1670613668
280,samarinda,-0.5,117.15,23.2,90,100,0.68,ID,1670613668
281,manaure,11.7751,-72.4445,27.7,67,95,5.91,CO,1670613669
282,medea,36.2642,2.7539,12.35,83,100,2.68,DZ,1670613669
283,longyearbyen,78.2186,15.6401,-8.09,93,20,5.66,SJ,1670613670
284,boissevain,49.2306,-100.0559,-2.98,73,6,4.87,CA,1670613670
285,jalu,29.0331,21.5482,18.87,48,0,3.03,LY,1670613670
286,rubano,45.4209,11.8072,7.62,97,99,1.79,IT,1670613671
287,ayan,56.45,138.1667,-18.75,71,55,2.41,RU,1670613671
288,tessalit,20.1986,1.0114,24.58,13,0,4.81,ML,1670613672
289,leningradskiy,69.3833,178.4167,-24.58,92,57,2.47,RU,1670613672
290,vanimo,-2.6741,141.3028,24.86,89,96,1.81,PG,1670613672
291,sechura,-5.5569,-80.8222,25.77,54,98,5.61,PE,1670613673
292,bacolod,10.6667,122.95,24.39,91,100,0.31,PH,1670613673
293,odienne,9.51,-7.5692,26.49,29,5,1.44,CI,1670613673
294,nome,64.5011,-165.4064,-6.96,86,100,7.2,US,1670613674
295,hirara,24.8,125.2833,23.16,77,96,13.36,JP,1670613580
296,gouyave,12.1646,-61.7296,28.43,61,40,0.0,GD,1670613674
297,jinchang,38.4953,102.1739,-6.66,59,82,2.08,CN,1670613675
298,bedesa,8.9,40.7833,16.57,33,10,2.04,ET,1670613675
299,delijan,33.9905,50.6838,3.92,74,98,1.07,IR,1670613675
300,batemans bay,-35.7167,150.1833,8.84,71,94,1.8,AU,1670613676
301,seymchan,62.8833,152.4333,-46.16,99,66,0.19,RU,1670613676
302,vila franca do campo,37.7167,-25.4333,17.33,88,100,7.62,PT,1670613677
303,hamilton,39.1834,-84.5333,12.03,71,100,5.66,US,1670613536
304,gizo,-8.103,156.8419,27.23,79,96,2.3,SB,1670613677
305,sao filipe,14.8961,-24.4956,25.18,72,5,3.15,CV,1670613678
306,sola,-13.8833,167.55,24.37,100,100,0.0,VU,1670613678
307,chake chake,-5.2459,39.7666,25.58,84,9,3.42,TZ,1670613679
308,bonavista,48.6499,-53.1147,2.99,89,100,6.22,CA,1670613679
309,novita,4.9551,-76.6053,26.26,88,68,1.94,CO,1670613680
310,san luis,-33.295,-66.3356,32.95,36,76,5.51,AR,1670613644
311,asmara,15.3333,38.9333,12.06,86,76,2.16,ER,1670613681
312,lethem,3.3803,-59.7968,30.65,57,94,4.35,GY,1670613681
313,college,64.8569,-147.8028,-10.03,82,75,3.6,US,1670613682
314,gazanjyk,39.2446,55.5154,-1.08,43,3,9.05,TM,1670613682
315,henties bay,-22.116,14.2845,16.16,90,0,3.93,NA,1670613682
316,nuuk,64.1835,-51.7216,3.34,60,40,13.38,GL,1670613683
317,parabel,58.6978,81.4825,-12.76,92,100,4.7,RU,1670613683
318,anadyr,64.75,177.4833,-15.72,78,0,4.0,RU,1670613683
319,kavaratti,10.5669,72.642,27.48,69,100,4.92,IN,1670613559
320,dunedin,-45.8742,170.5036,14.11,82,0,2.17,NZ,1670613392
321,beloha,-25.1667,45.05,23.86,80,6,8.34,MG,1670613684
322,marsa matruh,31.3525,27.2453,17.11,88,40,2.57,EG,1670613684
323,show low,34.2542,-110.0298,11.16,43,0,7.2,US,1670613685
324,jining,35.405,116.5814,4.09,85,8,1.38,CN,1670613685
325,esperance,-33.8667,121.9,15.54,78,0,4.26,AU,1670613686
326,kjollefjord,70.9457,27.3465,-0.97,86,20,0.0,NO,1670613686
327,north branch,45.5113,-92.9802,0.2,82,89,1.79,US,1670613646
328,sinjar,36.3209,41.8754,11.04,62,6,2.44,IQ,1670613687
329,arlit,18.7369,7.3853,23.91,12,0,3.89,NE,1670613687
330,mnogovershinnyy,53.9353,139.9242,-23.04,93,32,1.33,RU,1670613688
331,pavino,59.1139,46.1414,-8.65,95,100,2.14,RU,1670613688
332,broome,42.2506,-75.833,4.45,69,40,4.12,US,1670613688
333,iqaluit,63.7506,-68.5145,-20.15,77,75,1.03,CA,1670613689
334,conceicao do araguaia,-8.2578,-49.2647,28.76,72,100,1.65,BR,1670613689
335,newport,51.5877,-2.9984,1.41,76,7,2.08,GB,1670613611
336,antofagasta,-23.65,-70.4,21.6,69,100,2.85,CL,1670613690
337,praya,14.9215,-23.5087,25.3,73,20,8.23,CV,1670613690
338,sitka,57.0531,-135.33,0.94,86,100,5.14,US,1670613691
339,mudgee,-32.5943,149.5871,12.1,86,22,3.45,AU,1670613587
340,poum,-20.2333,164.0167,26.88,79,0,4.1,NC,1670613691
341,manokwari,-0.8667,134.0833,25.21,82,100,1.42,ID,1670613692
342,kameoka,35.0,135.5833,7.3,68,79,1.08,JP,1670613653
343,shymkent,42.3,69.6,-14.67,78,2,1.0,KZ,1670613448
344,powell river,49.8496,-124.5361,5.66,93,100,5.66,CA,1670613606
345,kaitangata,-46.2817,169.8464,12.86,95,73,2.45,NZ,1670613693
346,klaksvik,62.2266,-6.589,2.51,72,100,13.97,FO,1670613693
347,torata,-17.0769,-70.8433,19.15,57,79,4.68,PE,1670613694
348,austin,30.2672,-97.7431,27.24,67,20,4.12,US,1670613500
349,mineiros,-17.5694,-52.5511,30.91,41,90,1.87,BR,1670613694
350,churapcha,62.0025,132.4325,-36.69,100,99,0.59,RU,1670613695
351,molchanovo,57.5817,83.7692,-13.16,89,100,5.08,RU,1670613695
352,santander,43.4647,-3.8044,11.37,90,100,7.15,ES,1670613695
353,eregli,37.5133,34.0467,7.3,61,74,0.6,TR,1670613696
354,husavik,66.0449,-17.3389,-0.66,82,100,3.78,IS,1670613696
355,saint george,37.1041,-113.5841,10.24,54,0,1.34,US,1670613697
356,guasdualito,7.2424,-70.7324,30.0,58,61,2.06,VE,1670613697
357,shimoda,34.6667,138.95,7.28,58,100,5.85,JP,1670613698
358,walvis bay,-22.9575,14.5053,19.53,68,0,4.63,NA,1670613698
359,andenes,69.3143,16.1194,-1.01,55,0,8.23,NO,1670613699
